name,zip,county,district,latitude,longitude
Bükkmogyorósd,3648,Borsod-Abaúj-Zemplén,,48.12908299574937,20.355794759140856
Trizs,3724,Borsod-Abaúj-Zemplén,,48.42485624009886,20.495962490192543
Nyomár,3795,Borsod-Abaúj-Zemplén,,48.27543108217248,20.81975846621552
Ládbesenyő,3780,Borsod-Abaúj-Zemplén,,48.34296088915545,20.78592287726154
Monaj,3812,Borsod-Abaúj-Zemplén,,48.30557965726839,20.934877627278958
Ziliz,3794,Borsod-Abaúj-Zemplén,,48.25102295972108,20.792400243355893
Hegymeg,3786,Borsod-Abaúj-Zemplén,,48.331334674481305,20.86120500060069
Baskó,3881,Borsod-Abaúj-Zemplén,,48.332437000044564,21.33604115456577
Hernádpetri,3874,Borsod-Abaúj-Zemplén,,48.48138559715412,21.161946781460948
Litka,3866,Borsod-Abaúj-Zemplén,,48.45464972711876,21.058466813659134
Abaújszántó,3881,Borsod-Abaúj-Zemplén,,48.27873879199373,21.185528368414566
Hernádbűd,3853,Borsod-Abaúj-Zemplén,,48.29672017,21.13734040586568
Pusztaradvány,3874,Borsod-Abaúj-Zemplén,,48.467737139970914,21.133908473448752
Darnó,4737,Szabolcs-Szatmár-Bereg,,47.957204446979084,22.661415401579223
Kishuta,3994,Borsod-Abaúj-Zemplén,,48.45028143538003,21.481229368898195
Pálháza,3994,Borsod-Abaúj-Zemplén,,48.47147773819715,21.50688061458355
Vágáshuta,3992,Borsod-Abaúj-Zemplén,,48.42628322581762,21.545319782086846
Semjén,3974,Borsod-Abaúj-Zemplén,,48.351866677546894,21.96822312178034
Felsőregmec,3989,Borsod-Abaúj-Zemplén,,48.49164884,21.60579181601144
Füzérkajata,3994,Borsod-Abaúj-Zemplén,,48.51820697755365,21.499878732417283
Kisrozvágy,3965,Borsod-Abaúj-Zemplén,,48.34905202,21.938695505740306
Alsóregmec,3989,Borsod-Abaúj-Zemplén,,48.46317664840399,21.618791183937333
Győröcske,4625,Szabolcs-Szatmár-Bereg,,48.38527105962588,22.15205985427589
Hermánszeg,4735,Szabolcs-Szatmár-Bereg,,47.903861735677815,22.624968338564788
Regéc,3893,Borsod-Abaúj-Zemplén,,48.392187200649985,21.34373691
Felsőberecki,3985,Borsod-Abaúj-Zemplén,,48.35939047179816,21.69484420015945
Filkeháza,3994,Borsod-Abaúj-Zemplén,,48.495855614045325,21.488793109869206
Nagyhuta,3994,Borsod-Abaúj-Zemplén,,48.42922136208593,21.493241479901464
Gárdony,2484,Fejér,Agárd,47.18656774089457,18.598583559722055
Budapest,1154,Budapest,XV. kerület,47.56263,19.11681
Budapest,1153,Budapest,XV. kerület,47.56263,19.11681
Budapest,1152,Budapest,XV. kerület,47.56263,19.11681
Budapest,1151,Budapest,XV. kerület,47.56263,19.11681
Budapest,1156,Budapest,XV. kerület,47.56263,19.11681
Budapest,1155,Budapest,XV. kerület,47.56263,19.11681
Budapest,1171,Budapest,XVII. kerület,47.47997,19.25388
Budapest,1172,Budapest,XVII. kerület,47.47997,19.25388
Budapest,1174,Budapest,XVII. kerület,47.47997,19.25388
Budapest,1173,Budapest,XVII. kerület,47.47997,19.25388
Budapest,1214,Budapest,XXI. kerület,47.42215,19.06641
Budapest,1215,Budapest,XXI. kerület,47.42215,19.06641
Budapest,1212,Budapest,XXI. kerület,47.42215,19.06641
Budapest,1213,Budapest,XXI. kerület,47.42215,19.06641
Budapest,1166,Budapest,XVI. kerület,47.51482,19.17028
Budapest,1165,Budapest,XVI. kerület,47.51482,19.17028
Budapest,1162,Budapest,XVI. kerület,47.51482,19.17028
Budapest,1161,Budapest,XVI. kerület,47.51482,19.17028
Budapest,1201,Budapest,XX. kerület,47.43674,19.10093
Budapest,1203,Budapest,XX. kerület,47.43674,19.10093
Budapest,1204,Budapest,XX. kerület,47.43674,19.10093
Budapest,1205,Budapest,XX. kerület,47.43674,19.10093
Érd,2030,Pest,,47.39489,18.91361
Budapest,1191,Budapest,XIX. kerület,47.45293,19.14943
Budapest,1193,Budapest,XIX. kerület,47.45293,19.14943
Budapest,1196,Budapest,XIX. kerület,47.45293,19.14943
Budapest,1192,Budapest,XIX. kerület,47.45293,19.14943
Budapest,1221,Budapest,XXII. kerület,47.42698,19.04016
Budapest,1223,Budapest,XXII. kerület,47.42698,19.04016
Budapest,1222,Budapest,XXII. kerület,47.42698,19.04016
Budapest,1225,Budapest,XXII. kerület,47.42698,19.04016
Budapest,1224,Budapest,XXII. kerület,47.42698,19.04016
Gödöllő,2100,Pest,,47.59657,19.35515
Dunakeszi,2120,Pest,,47.63641,19.13864
Budaörs,2040,Pest,,47.46181,18.95845
Szentendre,2000,Pest,,47.66943,19.07561
Budapest,1237,Budapest,XXIII. kerület,47.39788,19.11492
Budapest,1239,Budapest,XXIII. kerület,47.39788,19.11492
Budapest,1238,Budapest,XXIII. kerület,47.39788,19.11492
Veresegyház,2112,Pest,,47.6459,19.29536
Bugacpusztaháza,6114,Bács-Kiskun,,46.70235179152516,19.63559149825419
Nagyhódos,4977,Szabolcs-Szatmár-Bereg,,47.96250817392595,22.847196700360712
Nemesborzova,4942,Szabolcs-Szatmár-Bereg,,47.99178647,22.63039326
Komlódtótfalu,4765,Szabolcs-Szatmár-Bereg,,47.842562979058954,22.70043751
Gadács,7276,Somogy,,46.53853106,18.00453656886488
Nagyvejke,7186,Tolna,,46.37739952472978,18.445191735498884
Újireg,7095,Tolna,,46.65794949,18.175353346205725
Lápafő,7214,Tolna,,46.51243611964498,18.059472914231453
Szabadi,7253,Somogy,,46.365703778187736,18.03281904447836
Taszár,7261,Somogy,,46.373529206413934,17.905575701656158
Kára,7285,Somogy,,46.617849591602635,18.01090036370441
Fiad,7282,Somogy,,46.63255200256191,17.83852295
Baté,7258,Somogy,,46.35905446152988,17.96353876275412
Vázsnok,7370,Baranya,,46.26528139024995,18.125386867547086
Gerényes,7362,Baranya,,46.30687062970318,18.184838561379514
Varga,7370,Baranya,,46.247520467263364,18.14247145731806
Meződ,7370,Baranya,,46.28963385656273,18.102875306764222
Palé,7370,Baranya,,46.26022921341302,18.069022934075917
Felsőegerszeg,7370,Baranya,,46.253897550138056,18.133580597200993
Oroszló,7370,Baranya,,46.22013458814972,18.12269273
Tarrós,7362,Baranya,,46.28061427531452,18.142510343167007
Tófű,7348,Baranya,,46.30942744073205,18.357822992433466
Kisbeszterce,7391,Baranya,,46.20525266,18.033361896748406
Edde,7443,Somogy,,46.52417978541749,17.71687776174937
Szentbalázs,7472,Somogy,,46.31952259938361,17.897490304763103
Rinyakovácsi,7527,Somogy,,46.28239933837027,17.597234910261072
Kaposgyarmat,7473,Somogy,,46.28007558268067,17.880457396801283
Patca,7477,Somogy,,46.28290170487775,17.722726350829234
Alsóbogát,7443,Somogy,,46.508812685689385,17.745553212357933
Zselicszentpál,7474,Somogy,,46.308041600332274,17.821802796690477
Patalom,7463,Somogy,,46.44926615943646,17.923328199518025
Pálmajor,7561,Somogy,,46.38522314056869,17.567136206954917
Bakháza,7585,Somogy,,46.106292942751296,17.360882015383346
Kátoly,7661,Baranya,,46.06337818737025,18.44975142880058
Kékesd,7661,Baranya,,46.100321959074186,18.47228882770279
Erzsébet,7661,Baranya,,46.10020691994097,18.45859370886234
Rinyaújnép,7584,Somogy,,46.08029536068455,17.354854731087467
Somogyaracs,7584,Somogy,,46.054327875204194,17.39197434081523
Komlósd,7582,Somogy,,46.01865320263983,17.384077520770266
Pereked,7664,Baranya,,46.093923586480955,18.37697660067677
Esztergom,2500,Komárom-Esztergom,,47.7928,18.74148
Gyál,2360,Pest,,47.38449,19.2214
Monor,2200,Pest,,47.35133,19.44733
Vecsés,2220,Pest,,47.40705,19.28648
Péteri,2209,Pest,,47.3890015,19.42337595001458
Vasad,2211,Pest,,47.32936245,19.37748242111963
Kisecset,2655,Nógrád,,47.93673022579365,19.312921934059524
Husztót,7678,Baranya,,46.17113649831073,18.093192872450153
Hetvehely,7681,Baranya,,46.13276394565864,18.043992656476334
Görcsönydoboka,7728,Baranya,,46.07063445186568,18.628205584363663
Birján,7747,Baranya,,46.00078010004432,18.37407689900246
Zengővárkony,7720,Baranya,,46.17280211,18.431927896005405
Lippó,7781,Baranya,,45.86324874278721,18.570270578004738
Kislippó,7775,Baranya,,45.83116978021857,18.539138701139446
Kisjakabfalva,7773,Baranya,,45.896077658195715,18.434779150511385
Peterd,7766,Baranya,,45.972210182345044,18.36086247809639
Kemse,7839,Baranya,,45.82335039075301,17.911839909597393
Tengeri,7834,Baranya,,45.92621253550862,18.08788442694361
Nagytótfalu,7800,Baranya,,45.863603271009076,18.342698281438132
Ózdfalu,7836,Baranya,,45.92848635523464,18.021064871569823
Kémes,7843,Baranya,,45.82405591824131,18.103220908106103
Sámod,7841,Baranya,,45.853499130413724,18.03846054343272
Kórós,7841,Baranya,,45.86668132531363,18.082118311685452
Kisszentmárton,7841,Baranya,,45.824281121182246,18.021820274338157
Hirics,7838,Baranya,,45.82422798385345,17.99335594949918
Regenye,7833,Baranya,,45.96985137290987,18.168490125519455
Páprád,7838,Baranya,,45.89258853993707,18.01029824743064
Drávapiski,7843,Baranya,,45.839580850142845,18.09884719955464
Cún,7843,Baranya,,45.812281846794484,18.067840524211924
Sósvertike,7960,Baranya,,45.83390904692747,17.861230178381703
Vászoly,8245,Veszprém,,46.940184067281905,17.75749639353565
Gilvánfa,7954,Baranya,,45.918196377699914,17.961931660569647
Várad,7973,Baranya,,45.97435086112097,17.745784621088433
Veszprémfajsz,8248,Veszprém,,47.03611231494425,17.896168266275858
Teklafalu,7973,Baranya,,45.94909274,17.728577490654125
Kisdobsza,7985,Baranya,,46.02788942584993,17.654836053387847
Paloznak,8229,Veszprém,,46.98262162989228,17.941669375113513
Horváthertelend,7935,Baranya,,46.17502967060107,17.927161782194485
Magyarmecske,7954,Baranya,,45.94429126402185,17.963949742362278
Merenye,7981,Baranya,,46.06926376,17.69832952279407
Drávagárdony,7977,Baranya,,45.94446553792494,17.604891924362402
Molvány,7981,Baranya,,46.02917611126281,17.74524850437805
Markóc,7967,Baranya,,45.86317024450563,17.76278861
Velény,7951,Baranya,,45.98066194862449,18.05137027925272
Csebény,7935,Baranya,,46.189078650063315,17.92742166943508
Drávasztára,7960,Baranya,,45.82292859354464,17.822227215671212
Szörény,7976,Baranya,,45.96840434869295,17.68226376715558
Endrőc,7973,Baranya,,45.929349522917505,17.76238743594665
Gyöngyfa,7954,Baranya,,45.96009177202768,17.95058928708677
Potony,7977,Baranya,,45.93054779609301,17.649355819628365
Kacsóta,7940,Baranya,,46.03875471914229,17.954539012404048
Kistamási,7981,Baranya,,46.01161906653983,17.721104355119135
Csonkamindszent,7940,Baranya,,46.05171378633318,17.96608688604255
Drávakeresztúr,7967,Baranya,,45.83837298943359,17.75759676101938
Sumony,7960,Baranya,,45.9676754,17.914638508499863
Szabadszentkirály,7951,Baranya,,46.00550454214817,18.043051816609516
Nemeske,7981,Baranya,,46.019936549616226,17.713024695208077
Pécsbagota,7951,Baranya,,45.99052963473263,18.072859345749993
Örvényes,8242,Veszprém,,46.91404983276859,17.81858693
Marócsa,7960,Baranya,,45.91421127471995,17.81543688804251
Kisasszonyfa,7954,Baranya,,45.94662449629159,18.005869136412166
Zalaköveskút,8354,Zala,,46.84774936865129,17.142645237435037
Vindornyafok,8354,Zala,,46.85620038,17.17379369503706
Megyer,8348,Veszprém,,47.06139942797191,17.19174426397911
Kisvásárhely,8341,Zala,,46.99437965893421,17.198352795178803
Hetyefő,8344,Veszprém,,47.04568765911757,17.160177769566854
Zalahaláp,8308,Veszprém,,46.914262356514016,17.45882240553136
Szentjakabfa,8272,Veszprém,,46.93331127195704,17.677082880713996
Vindornyalak,8353,Zala,,46.88673745114034,17.193703074923892
Barnag,8291,Veszprém,,46.97896358353876,17.74638883787143
Balatonrendes,8255,Veszprém,,46.82798706376055,17.583287454379988
Raposka,8300,Veszprém,,46.848822497401436,17.425822676388588
Szalapa,8341,Zala,,46.992575004778544,17.14692111555261
Kékkút,8254,Veszprém,,46.849298975852605,17.558726972422214
Kapolcs,8294,Veszprém,,46.954450402422474,17.60663508883499
Vöröstó,8291,Veszprém,,46.970946017615134,17.721973533745423
Salföld,8256,Veszprém,,46.833977300279436,17.55060536876691
Csehbánya,8445,Veszprém,,47.17875079293153,17.68597212935406
Szentantalfa,8272,Veszprém,,46.912411897424334,17.674238647108343
Káptalanfa,8471,Veszprém,,47.06405851989822,17.34369677403174
Szőc,8452,Veszprém,,47.02126136516091,17.513983303384464
Hegyesd,8296,Veszprém,,46.91603084240356,17.522291612860318
Pula,8291,Veszprém,,46.99788787871041,17.64841222863808
Döbröce,8357,Zala,,46.93595727110797,17.188997649401188
Kisgörbő,8356,Zala,,46.93635243253753,17.155566092372634
Kisapáti,8284,Veszprém,,46.84397446879984,17.468011043903637
Várkesző,8523,Veszprém,,47.42949268352245,17.31487805601925
Kispirit,8496,Veszprém,,47.19750940402717,17.239634614279748
Apácatorna,8477,Veszprém,,47.112406484981626,17.295153192248662
Kisszőlős,8483,Veszprém,,47.195777886340046,17.331069028310978
Vid,8484,Veszprém,,47.21315390698554,17.336108343132555
Bókaháza,8741,Zala,,46.77531493879958,17.104057054341776
Somogycsicsó,8726,Somogy,,46.30971234808782,17.13374778052146
Gyugy,8692,Somogy,,46.68728456574116,17.679737472053986
Somogyegres,8666,Somogy,,46.67568821060948,18.02623407201257
Garabonc,8747,Zala,,46.58906443934861,17.121901353129953
Gadány,8716,Somogy,,46.51836147305592,17.389732990238862
Főnyed,8732,Somogy,,46.63090359,17.25624050089801
Nemeskisfalud,8717,Somogy,,46.439845955577695,17.366033604118854
Kelevíz,8714,Somogy,,46.52264869522671,17.41831133661521
Ganna,8597,Veszprém,,47.23234470390654,17.52903185737881
Bakonyság,8557,Veszprém,,47.400131558580554,17.65124175
Lulla,8660,Somogy,,46.791541512534685,18.022098228968673
Szegerdő,8732,Somogy,,46.63352628773857,17.27574923
Tikos,8731,Somogy,,46.63514194362217,17.287604202095316
